#
 0,         smart_20_high_dim,  0.00,  0.02, *                   |                   ,  0.00,  0.00,  0.00,  0.02,  0.02
 0,         smart_30_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_40_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_50_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,          dumb_20_high_dim,  0.02,  0.02, *-                  |                   ,  0.00,  0.02,  0.02,  0.03,  0.07
 1,          dumb_30_high_dim,  0.02,  0.03, *-                  |                   ,  0.00,  0.00,  0.02,  0.03,  0.05
 1,          dumb_40_high_dim,  0.02,  0.02, *                   |                   ,  0.00,  0.00,  0.02,  0.02,  0.03
 1,          dumb_50_high_dim,  0.02,  0.02, *                   |                   ,  0.00,  0.00,  0.02,  0.02,  0.03
#
 2,                  asIs,192,  0.22,  0.38,   ---   *           |--------           ,  0.07,  0.13,  0.22,  0.52,  0.73
