#
 0,         smart_20_high_dim,  0.13,  0.04,   -- *--            |                   ,  0.05,  0.11,  0.13,  0.15,  0.20
#
 1,         smart_30_high_dim,  0.14,  0.05, ----- *-            |                   ,  0.00,  0.13,  0.14,  0.18,  0.21
 1,          dumb_40_high_dim,  0.14,  0.04,       *--           |                   ,  0.12,  0.13,  0.14,  0.17,  0.21
 1,          dumb_50_high_dim,  0.14,  0.02,       *--           |                   ,  0.12,  0.13,  0.14,  0.15,  0.21
 1,         smart_50_high_dim,  0.15,  0.03,   --- *             |                   ,  0.05,  0.13,  0.15,  0.16,  0.18
 1,          dumb_30_high_dim,  0.15,  0.03,    -- *--           |                   ,  0.09,  0.14,  0.15,  0.16,  0.23
 1,          dumb_20_high_dim,  0.15,  0.03,     - *--           |                   ,  0.11,  0.13,  0.15,  0.17,  0.21
 1,         smart_40_high_dim,  0.15,  0.06,   --  *-            |                   ,  0.05,  0.11,  0.15,  0.17,  0.19
#
 2,                 asIs,4653,  0.48,  0.13,                ---  *  ----------       ,  0.35,  0.42,  0.48,  0.55,  0.76
