#
 0,          smart_40_low_dim,  0.07,  0.02,     -*---           |                   ,  0.06,  0.07,  0.07,  0.09,  0.12
 0,          smart_50_low_dim,  0.08,  0.02, -----*-             |                   ,  0.00,  0.07,  0.08,  0.09,  0.10
#
 1,          smart_20_low_dim,  0.09,  0.02,       *-            |                   ,  0.08,  0.08,  0.09,  0.10,  0.12
 1,          smart_30_low_dim,  0.09,  0.03,       *-----        |                   ,  0.07,  0.07,  0.09,  0.10,  0.17
 1,           dumb_50_low_dim,  0.09,  0.02,      -*-            |                   ,  0.07,  0.08,  0.09,  0.10,  0.12
 1,           dumb_20_low_dim,  0.10,  0.04,        *--          |                   ,  0.07,  0.08,  0.10,  0.12,  0.14
 1,           dumb_40_low_dim,  0.10,  0.03,        *-           |                   ,  0.07,  0.08,  0.10,  0.10,  0.12
 1,           dumb_30_low_dim,  0.10,  0.03,      - * -          |                   ,  0.07,  0.09,  0.10,  0.12,  0.13
#
 2,                 asIs,1512,  0.18,  0.09,          --  *    --|--------           ,  0.12,  0.15,  0.18,  0.24,  0.39
