#
 0,          smart_20_low_dim,  0.30,  0.00, *-----------        |                   ,  0.30,  0.30,  0.30,  0.30,  0.51
 0,          smart_30_low_dim,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
 0,          smart_40_low_dim,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
 0,          smart_50_low_dim,  0.30,  0.00, *                   |                   ,  0.30,  0.30,  0.30,  0.30,  0.30
#
 1,           dumb_30_low_dim,  0.44,  0.14,         *---        |                   ,  0.30,  0.30,  0.44,  0.44,  0.51
 1,           dumb_40_low_dim,  0.44,  0.20,         *  -        |                   ,  0.30,  0.30,  0.44,  0.50,  0.51
 1,           dumb_50_low_dim,  0.44,  0.21,         *   ------- |                   ,  0.30,  0.30,  0.44,  0.51,  0.65
#
 2,           dumb_20_low_dim,  0.50,  0.14, --------   *    --- |                   ,  0.30,  0.45,  0.50,  0.59,  0.65
#
 3,                  asIs,259,  0.95,  0.12,                  ---|----------     * - ,  0.60,  0.86,  0.95,  0.97,  0.99
