#
 0,         smart_40_high_dim,  0.20,  0.04,  *---               |                   ,  0.17,  0.18,  0.20,  0.21,  0.28
 0,         smart_50_high_dim,  0.20,  0.02, -*------            |                   ,  0.17,  0.20,  0.20,  0.21,  0.35
#
 1,          dumb_40_high_dim,  0.22,  0.03,  -*--               |                   ,  0.20,  0.21,  0.22,  0.24,  0.29
#
 2,         smart_30_high_dim,  0.23,  0.10, -- *  --            |                   ,  0.17,  0.21,  0.23,  0.30,  0.34
 2,          dumb_30_high_dim,  0.24,  0.04, -- *                |                   ,  0.18,  0.21,  0.24,  0.25,  0.27
 2,         smart_20_high_dim,  0.24,  0.06, -- * --             |                   ,  0.17,  0.22,  0.24,  0.28,  0.33
 2,          dumb_50_high_dim,  0.25,  0.06, --  *-              |                   ,  0.17,  0.21,  0.25,  0.27,  0.29
#
 3,          dumb_20_high_dim,  0.27,  0.09,     * --            |                   ,  0.21,  0.22,  0.27,  0.31,  0.34
#
 4,                  asIs,972,  0.48,  0.10,            --  *  --|---                ,  0.41,  0.45,  0.48,  0.54,  0.68
