#
 0,          dumb_50_high_dim,  0.06,  0.02, *                   |                   ,  0.05,  0.06,  0.06,  0.07,  0.09
 0,          dumb_40_high_dim,  0.07,  0.02, *--                 |                   ,  0.06,  0.06,  0.07,  0.08,  0.12
 0,         smart_50_high_dim,  0.07,  0.13,  *    ---           |                   ,  0.05,  0.06,  0.07,  0.19,  0.24
 0,         smart_20_high_dim,  0.07,  0.13,  *    ----          |                   ,  0.05,  0.06,  0.07,  0.19,  0.28
 0,         smart_40_high_dim,  0.08,  0.12,  *    ----          |                   ,  0.05,  0.07,  0.08,  0.19,  0.28
 0,          dumb_30_high_dim,  0.08,  0.03, -*-------           |                   ,  0.06,  0.08,  0.08,  0.10,  0.24
 0,          dumb_20_high_dim,  0.09,  0.13,   *    ---          |                   ,  0.07,  0.08,  0.09,  0.20,  0.27
 0,         smart_30_high_dim,  0.19,  0.16,       *----         |                   ,  0.05,  0.06,  0.19,  0.22,  0.29
#
 1,                 asIs,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.08,  0.23,  0.29,  0.34,  0.65
