#
 0,          dumb_50_high_dim,  0.04,  0.00, *---                |                   ,  0.04,  0.04,  0.04,  0.04,  0.06
 0,          dumb_40_high_dim,  0.04,  0.02,  * ---              |                   ,  0.04,  0.04,  0.04,  0.06,  0.07
 0,          dumb_30_high_dim,  0.04,  0.02, -*  -------         |                   ,  0.04,  0.04,  0.04,  0.06,  0.10
#
 1,          dumb_20_high_dim,  0.06,  0.05, -   *     ---       |                   ,  0.04,  0.05,  0.06,  0.10,  0.11
 1,         smart_50_high_dim,  0.06,  0.04, --- *    ----       |                   ,  0.04,  0.05,  0.06,  0.09,  0.11
 1,         smart_30_high_dim,  0.06,  0.04, --- *    ---        |                   ,  0.04,  0.05,  0.06,  0.09,  0.11
 1,         smart_20_high_dim,  0.07,  0.04, --   *  ----        |                   ,  0.04,  0.05,  0.07,  0.09,  0.11
 1,         smart_40_high_dim,  0.07,  0.04, --   *  --          |                   ,  0.04,  0.05,  0.07,  0.09,  0.10
#
 2,                 asIs,5184,  0.13,  0.04,            --   *   |-----              ,  0.10,  0.12,  0.13,  0.15,  0.19
