#
 0,          smart_40_low_dim,  0.50,  0.07,        --   *-      |                   ,  0.41,  0.45,  0.50,  0.52,  0.53
 0,           dumb_50_low_dim,  0.51,  0.04,       ----- *-      |                   ,  0.39,  0.48,  0.51,  0.52,  0.53
 0,          smart_30_low_dim,  0.52,  0.02,              *      |                   ,  0.50,  0.51,  0.52,  0.53,  0.53
 0,           dumb_20_low_dim,  0.52,  0.02,          --- *      |                   ,  0.45,  0.51,  0.52,  0.53,  0.53
 0,           dumb_30_low_dim,  0.52,  0.03,        ----  *      |                   ,  0.42,  0.49,  0.52,  0.53,  0.54
 0,          smart_50_low_dim,  0.52,  0.01,          ----*      |                   ,  0.45,  0.52,  0.52,  0.53,  0.54
 0,           dumb_40_low_dim,  0.52,  0.01,           ---*      |                   ,  0.47,  0.52,  0.52,  0.52,  0.53
 0,          smart_20_low_dim,  0.52,  0.02,            --*      |                   ,  0.50,  0.52,  0.52,  0.53,  0.54
#
 1,                asIs,10000,  1.00,  0.47,                     |                  *,  0.52,  0.53,  1.00,  1.00,  1.00
