#
 0,           dumb_20_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_20_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,           dumb_30_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_30_low_dim,  0.00,  0.00, *-------------------|------------------ ,  0.00,  0.00,  0.00,  0.00,  1.00
 0,           dumb_40_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_40_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,           dumb_50_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_50_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,                asIs,10000,  1.00,  0.00, --------------------|------------------*,  0.00,  1.00,  1.00,  1.00,  1.00
