#
 0,          dumb_50_high_dim,  0.36,  0.08,     -- *  --        |                   ,  0.30,  0.34,  0.36,  0.42,  0.45
 0,         smart_50_high_dim,  0.38,  0.06,   ----  *---        |                   ,  0.28,  0.34,  0.38,  0.40,  0.44
 0,         smart_40_high_dim,  0.39,  0.08,    ---- *  ---      |                   ,  0.30,  0.35,  0.39,  0.43,  0.50
 0,          dumb_40_high_dim,  0.39,  0.05,       -- * ---      |                   ,  0.34,  0.38,  0.39,  0.43,  0.48
#
 1,          dumb_20_high_dim,  0.41,  0.08,      --   *----     |                   ,  0.32,  0.36,  0.41,  0.44,  0.50
 1,         smart_30_high_dim,  0.41,  0.15,      -    *         |                   ,  0.33,  0.35,  0.41,  0.50,  0.52
 1,         smart_20_high_dim,  0.43,  0.05,         - * ---     |                   ,  0.37,  0.40,  0.43,  0.45,  0.51
#
 2,          dumb_30_high_dim,  0.45,  0.06,       ----  * ---   |                   ,  0.34,  0.42,  0.45,  0.48,  0.55
#
 3,                asIs,20000,  0.67,  0.12,               ------|   * -----         ,  0.50,  0.60,  0.67,  0.72,  0.81
