#
 0,          smart_30_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_40_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          smart_50_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,           dumb_40_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,           dumb_30_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,           dumb_50_low_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,          smart_20_low_dim,  0.00,  0.01, *-                  |                   ,  0.00,  0.00,  0.00,  0.01,  0.05
 0,           dumb_20_low_dim,  0.00,  0.01, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
#
 1,                  asIs,196,  0.26,  0.13, -------   * ------  |                   ,  0.01,  0.19,  0.26,  0.32,  0.46
